id,name,country_id,tax_payable_account_id,tax_receivable_account_id
tax_group_0,Tax 0%,base.us,tax_payable,tax_receivable
tax_group_2_9,Tax 2.9%,base.us,tax_payable,tax_receivable
tax_group_4,Tax 4%,base.us,tax_payable,tax_receivable
tax_group_4_2,Tax 4.2%,base.us,tax_payable,tax_receivable
tax_group_4_225,Tax 4.225%,base.us,tax_payable,tax_receivable
tax_group_4_5,Tax 4.5%,base.us,tax_payable,tax_receivable
tax_group_4_75,Tax 4.75%,base.us,tax_payable,tax_receivable
tax_group_4_875,Tax 4.875%,base.us,tax_payable,tax_receivable
tax_group_5,Tax 5%,base.us,tax_payable,tax_receivable
tax_group_5_3,Tax 5.3%,base.us,tax_payable,tax_receivable
tax_group_5_5,Tax 5.5%,base.us,tax_payable,tax_receivable
tax_group_5_6,Tax 5.6%,base.us,tax_payable,tax_receivable
tax_group_5_75,Tax 5.75%,base.us,tax_payable,tax_receivable
tax_group_6,Tax 6%,base.us,tax_payable,tax_receivable
tax_group_6_1,Tax 6.1%,base.us,tax_payable,tax_receivable
tax_group_6_25,Tax 6.25%,base.us,tax_payable,tax_receivable
tax_group_6_35,Tax 6.35%,base.us,tax_payable,tax_receivable
tax_group_6_5,Tax 6.5%,base.us,tax_payable,tax_receivable
tax_group_6_625,Tax 6.625%,base.us,tax_payable,tax_receivable
tax_group_6_85,Tax 6.85%,base.us,tax_payable,tax_receivable
tax_group_6_875,Tax 6.875%,base.us,tax_payable,tax_receivable
tax_group_7,Tax 7%,base.us,tax_payable,tax_receivable
tax_group_7_25,Tax 7.25%,base.us,tax_payable,tax_receivable
