id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_livechat_channel,im_livechat.channel,model_im_livechat_channel,,1,0,0,0
access_livechat_channel_user,im_livechat.channel.user,model_im_livechat_channel,im_livechat_group_user,1,1,1,0
access_livechat_channel_manager,im_livechat.channel.manager,model_im_livechat_channel,im_livechat_group_manager,1,1,1,1
access_livechat_support_report_channel,im_livechat.report.channel,model_im_livechat_report_channel,im_livechat_group_manager,1,1,1,1
access_livechat_support_report_operator,im_livechat.report.operator,model_im_livechat_report_operator,im_livechat_group_manager,1,1,1,1
access_livechat_channel_rule,im_livechat.channel.rule,model_im_livechat_channel_rule,,1,0,0,0
access_livechat_channel_rule_user,im_livechat.channel.rule,model_im_livechat_channel_rule,im_livechat_group_user,1,1,1,0
access_livechat_channel_rule_manager,im_livechat.channel.rule,model_im_livechat_channel_rule,im_livechat_group_manager,1,1,1,1
access_livechat_chatbot,im_livechat.chatbot.script,model_im_livechat_chatbot_script,,1,0,0,0
access_livechat_chatbot_user,im_livechat.chatbot.script.user,model_im_livechat_chatbot_script,im_livechat_group_user,1,1,1,0
access_livechat_chatbot_manager,im_livechat.chatbot.script.manager,model_im_livechat_chatbot_script,im_livechat_group_manager,1,1,1,1
access_livechat_chatbot_script_question,im_livechat.chatbot.script_question,model_im_livechat_chatbot_script_step,,1,0,0,0
access_livechat_chatbot_script_question_user,im_livechat.chatbot.script_question.user,model_im_livechat_chatbot_script_step,im_livechat_group_user,1,1,1,0
access_livechat_chatbot_script_question_manager,im_livechat.chatbot.script_question.manager,model_im_livechat_chatbot_script_step,im_livechat_group_manager,1,1,1,1
access_livechat_chatbot_script_question_answer,im_livechat.chatbot.script_question_answer,model_im_livechat_chatbot_script_question_answer,,1,0,0,0
access_livechat_chatbot_script_question_answer_user,im_livechat.chatbot.script_question_answer.user,model_im_livechat_chatbot_script_question_answer,im_livechat_group_user,1,1,1,0
access_livechat_chatbot_script_question_answer_manager,im_livechat.chatbot.script_question_answer.manager,model_im_livechat_chatbot_script_question_answer,im_livechat_group_manager,1,1,1,1
access_livechat_chatbot_mail_message_all,im_livechat.chatbot.mail.message,model_im_livechat_chatbot_mail_message,,1,0,0,0
access_livechat_chatbot_mail_message_user,im_livechat.chatbot.mail.message,model_im_livechat_chatbot_mail_message,base.group_portal,1,1,1,1
