id,name,applicability
tag_au_tax_sale_10,Taxable Sales Ex-GST,taxes
tag_au_tax_sale_inc_10,Taxable Sales Inc-GST,taxes
tag_au_tax_sale_0,Tax Exclusive Sales,taxes
tag_au_tax_sale_exempt,Tax Exempt Sales,taxes
tag_au_tax_purchase_10,Taxable Purchases Ex-GST,taxes
tag_au_tax_purchase_inc_10,Taxable Purchases Inc-GST,taxes
tag_au_tax_purchase_capital,Capital Purchases Ex-GST,taxes
tag_au_tax_purchase_0,Tax Exempt Purchases,taxes
tag_au_tax_purchase_taxable_import,Taxable Import without GST,taxes
tag_au_tax_purchase_gst_only,GST Payment for Taxable Imports,taxes
