"id","name","description","invoice_label","amount","amount_type","type_tax_use","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/tag_ids","repartition_line_ids/factor_percent","name@fr","description@fr","fiscal_position_ids","original_tax_ids"
"syscebnl_tva_sale_19","19%","","","19.0","percent","sale","syscebnl_tax_group_19","base","invoice","","base_sale_19","","","","syscebnl_fiscal_position_template_1",""
"","","","","","","","","tax","invoice","syscebnl_443","tax_sale_19","","","","",""
"","","","","","","","","base","refund","","base_sale_19","","","","",""
"","","","","","","","","tax","refund","syscebnl_443","tax_sale_19","","","","",""
"syscebnl_tva_purchase_19","19%","","","19.0","percent","purchase","syscebnl_tax_group_19","base","invoice","","purc_base","","","","syscebnl_fiscal_position_template_1",""
"","","","","","","","","tax","invoice","syscebnl_445","purc_tax","","","","",""
"","","","","","","","","base","refund","","purc_base","","","","",""
"","","","","","","","","tax","refund","syscebnl_445","purc_tax","","","","",""
"syscebnl_tva_sale_5","5%","","","5.0","percent","sale","syscebnl_tax_group_5","base","invoice","","base_sale_5","","","","syscebnl_fiscal_position_template_1",""
"","","","","","","","","tax","invoice","syscebnl_443","tax_sale_5","","","","",""
"","","","","","","","","base","refund","","base_sale_5","","","","",""
"","","","","","","","","tax","refund","syscebnl_443","tax_sale_5","","","","",""
"syscebnl_tva_purchase_5","5%","","","5.0","percent","purchase","syscebnl_tax_group_5","base","invoice","","purc_base","","","","syscebnl_fiscal_position_template_1",""
"","","","","","","","","tax","invoice","syscebnl_445","purc_tax","","","","",""
"","","","","","","","","base","refund","","purc_base","","","","",""
"","","","","","","","","tax","refund","syscebnl_445","purc_tax","","","","",""
"syscebnl_tva_export_0","0% EX","0% (export)","","0.0","","sale","syscebnl_tax_group_0","base","invoice","","export","","","0% (exportation)","syscebnl_fiscal_position_template_2","syscebnl_tva_sale_5,syscebnl_tva_sale_19"
"","","","","","","","","tax","invoice","","","","","","",""
"","","","","","","","","base","refund","","export","","","","",""
"","","","","","","","","tax","refund","","","","","","",""
"syscebnl_tva_import_0","0% EX","0% (import)","","0.0","","purchase","syscebnl_tax_group_0","base","invoice","","import_base","","","0% (importation)","syscebnl_fiscal_position_template_2","syscebnl_tva_purchase_19,syscebnl_tva_purchase_5"
"","","","","","","","","tax","invoice","","","","","","",""
"","","","","","","","","base","refund","","import_base","","","","",""
"","","","","","","","","tax","refund","","","","","","",""
"syscebnl_tva_exempt_0","0%","0% (exempt)","","0.0","","sale","syscebnl_tax_group_0","base","invoice","","sale_exempt","","","0% (exonéré)","syscebnl_fiscal_position_template_1",""
"","","","","","","","","tax","invoice","","","","","","",""
"","","","","","","","","base","refund","","sale_exempt","","","","",""
"","","","","","","","","tax","refund","","","","","","",""
"syscebnl_tva_purchase_exempt_0","0%","0% (exempt)","","0.0","","purchase","syscebnl_tax_group_0","base","invoice","","purc_exempt","","","0% (exonéré)","syscebnl_fiscal_position_template_1",""
"","","","","","","","","tax","invoice","","","","","","",""
"","","","","","","","","base","refund","","purc_exempt","","","","",""
"","","","","","","","","tax","refund","","","","","","",""
