"id","name","model_id:id","group_id:id","perm_read","perm_write","perm_create","perm_unlink"
access_export_boolean,access_export_boolean,model_export_boolean,,1,1,1,1
access_export_integer,access_export_integer,model_export_integer,,1,1,1,1
access_export_float,access_export_float,model_export_float,,1,1,1,1
access_export_decimal,access_export_decimal,model_export_decimal,,1,1,1,1
access_export_string_bounded,access_export_string_bounded,model_export_string_bounded,,1,1,1,1
access_export_string_required,access_export_string_required,model_export_string_required,,1,1,1,1
access_export_string,access_export_string,model_export_string,,1,1,1,1
access_export_date,access_export_date,model_export_date,,1,1,1,1
access_export_datetime,access_export_datetime,model_export_datetime,,1,1,1,1
access_export_text,access_export_text,model_export_text,,1,1,1,1
access_export_selection,access_export_selection,model_export_selection,,1,1,1,1
access_export_selection_function,access_export_selection_function,model_export_selection_function,,1,1,1,1
access_export_many2one,access_export_many2one,model_export_many2one,,1,1,1,1
access_export_one2many,access_export_one2many,model_export_one2many,,1,1,1,1
access_export_many2many,access_export_many2many,model_export_many2many,,1,1,1,1
access_export_function,access_export_function,model_export_function,,1,1,1,1
access_export_one2many_child,access_export_one2many_child,model_export_one2many_child,,1,1,1,1
access_export_one2many_multiple,access_export_one2many_multiple,model_export_one2many_multiple,,1,1,1,1
access_export_one2many_multiple_child,access_export_one2many_multiple_child,model_export_one2many_multiple_child,,1,1,1,1
access_export_one2many_child_1,access_export_one2many_child_1,model_export_one2many_child_1,,1,1,1,1
access_export_one2many_child_2,access_export_one2many_child_2,model_export_one2many_child_2,,1,1,1,1
access_export_many2many_other,access_export_many2many_other,model_export_many2many_other,,1,1,1,1
access_export_selection_withdefault,access_export_selection_withdefault,model_export_selection_withdefault,,1,1,1,1
access_export_one2many_recursive,access_export_one2many_recursive,model_export_one2many_recursive,,1,1,1,1
access_export_unique,access_export_unique,model_export_unique,,1,1,1,1
access_export_inherits_parent,access_export_inherits_parent,model_export_inherits_parent,,1,1,1,1
access_export_inherits_child,access_export_inherits_child,model_export_inherits_child,,1,1,1,1
